Frame,Timestamp,Ball_X,Ball_Y,Detected
182,4.4341,-0.010,-0.048,1
183,4.4583,-0.028,-0.066,1
184,4.4828,-0.048,-0.086,1
185,4.5070,-0.069,-0.103,1
186,4.5308,-0.090,-0.121,1
187,4.5552,-0.110,-0.134,1
188,4.5789,-0.128,-0.148,1
189,4.6032,-0.148,-0.162,1
190,4.6268,-0.166,-0.176,1
191,4.6507,-0.183,-0.186,1
192,4.6745,-0.197,-0.197,1
193,4.6982,-0.214,-0.207,1
194,4.7223,-0.231,-0.217,1
195,4.7463,-0.245,-0.224,1
196,4.7702,-0.259,-0.231,1
197,4.7944,-0.269,-0.234,1
198,4.8179,-0.283,-0.241,1
199,4.8448,-0.293,-0.245,1
200,4.8701,-0.303,-0.248,1
201,4.8955,-0.310,-0.248,1
202,4.9213,-0.321,-0.245,1
203,4.9459,-0.328,-0.245,1
204,4.9696,-0.331,-0.241,1
205,4.9934,-0.338,-0.238,1
206,5.0177,-0.341,-0.234,1
207,5.0412,-0.345,-0.228,1
208,5.0650,-0.345,-0.224,1
209,5.0893,-0.345,-0.217,1
210,5.1130,-0.341,-0.214,1
211,5.1366,-0.338,-0.207,1
212,5.1604,-0.334,-0.200,1
213,5.1845,-0.328,-0.193,1
214,5.2083,-0.324,-0.186,1
215,5.2322,-0.317,-0.176,1
216,5.2564,-0.310,-0.169,1
217,5.2805,-0.303,-0.162,1
218,5.3049,-0.293,-0.155,1
219,5.3297,-0.286,-0.145,1
220,5.3540,-0.276,-0.138,1
221,5.3784,-0.266,-0.128,1
222,5.4027,-0.252,-0.117,1
223,5.4274,-0.245,-0.107,1
224,5.4518,-0.231,-0.097,1
225,5.4762,-0.221,-0.086,1
226,5.5005,-0.207,-0.076,1
227,5.5245,-0.197,-0.062,1
228,5.5483,-0.183,-0.052,1
229,5.5730,-0.172,-0.038,1
230,5.5972,-0.162,-0.028,1
231,5.6214,-0.148,-0.014,1
232,5.6454,-0.138,0.000,1
233,5.6699,-0.124,0.010,1
234,5.6940,-0.114,0.024,1
235,5.7179,-0.100,0.038,1
236,5.7420,-0.090,0.052,1
237,5.7655,-0.079,0.062,1
238,5.7918,-0.066,0.072,1
239,5.8169,-0.052,0.086,1
240,5.8423,-0.048,0.100,1
241,5.8678,-0.034,0.114,1
242,5.8930,-0.028,0.124,1
243,5.9186,-0.017,0.138,1
244,5.9438,-0.007,0.148,1
245,5.9691,0.000,0.159,1
246,5.9948,0.010,0.169,1
247,6.0201,0.017,0.179,1
248,6.0460,0.024,0.190,1
249,6.0718,0.031,0.200,1
250,6.0972,0.038,0.210,1
251,6.1232,0.041,0.217,1
252,6.1481,0.045,0.228,1
253,6.1722,0.052,0.234,1
254,6.1958,0.052,0.241,1
255,6.2199,0.059,0.248,1
256,6.2437,0.059,0.255,1
257,6.2675,0.062,0.259,1
258,6.2914,0.066,0.266,1
259,6.3154,0.066,0.269,1
260,6.3389,0.069,0.272,1
261,6.3632,0.069,0.276,1
262,6.3870,0.069,0.279,1
263,6.4110,0.069,0.283,1
264,6.4349,0.069,0.286,1
265,6.4591,0.066,0.286,1
266,6.4830,0.066,0.286,1
267,6.5070,0.062,0.286,1
268,6.5311,0.062,0.286,1
269,6.5549,0.059,0.290,1
270,6.5787,0.055,0.286,1
271,6.6027,0.055,0.286,1
272,6.6266,0.052,0.286,1
273,6.6512,0.048,0.283,1
274,6.6744,0.045,0.283,1
275,6.6986,0.041,0.279,1
276,6.7224,0.038,0.279,1
277,6.7462,0.034,0.276,1
278,6.7703,0.034,0.276,1
279,6.7942,0.031,0.272,1
280,6.8179,0.028,0.272,1
281,6.8422,0.024,0.269,1
282,6.8659,0.017,0.269,1
283,6.8899,0.014,0.266,1
284,6.9139,0.010,0.266,1
285,6.9384,0.003,0.262,1
286,6.9628,-0.003,0.259,1
287,6.9871,-0.007,0.255,1
288,7.0117,-0.014,0.252,1
289,7.0353,-0.021,0.248,1
290,7.0590,-0.024,0.248,1
291,7.0831,-0.031,0.245,1
292,7.1070,-0.034,0.241,1
293,7.1306,-0.041,0.238,1
294,7.1544,-0.048,0.234,1
295,7.1785,-0.052,0.231,1
296,7.2027,-0.059,0.228,1
297,7.2273,-0.062,0.224,1
298,7.2511,-0.069,0.221,1
299,7.2751,-0.069,0.217,1
300,7.2987,-0.072,0.217,1
301,7.3229,-0.079,0.214,1
302,7.3471,-0.083,0.210,1
303,7.3715,-0.086,0.207,1
304,7.3959,-0.086,0.203,1
305,7.4205,-0.090,0.200,1
306,7.4443,-0.093,0.200,1
307,7.4682,-0.097,0.197,1
308,7.4923,-0.100,0.193,1
309,7.5157,-0.100,0.190,1
310,7.5413,-0.103,0.186,1
311,7.5663,-0.103,0.183,1
312,7.5914,-0.103,0.179,1
313,7.6171,-0.107,0.179,1
314,7.6426,-0.107,0.176,1
315,7.6675,-0.107,0.176,1
316,7.6925,-0.107,0.172,1
317,7.7178,-0.110,0.169,1
318,7.7430,-0.110,0.169,1
319,7.7678,-0.110,0.166,1
320,7.7935,-0.110,0.166,1
321,7.8189,-0.110,0.166,1
322,7.8439,-0.110,0.166,1
323,7.8692,-0.110,0.162,1
324,7.8950,-0.110,0.162,1
325,7.9208,-0.107,0.162,1
326,7.9467,-0.107,0.162,1
327,7.9729,-0.107,0.162,1
328,7.9981,-0.107,0.162,1
329,8.0223,-0.103,0.162,1
330,8.0466,-0.103,0.162,1
331,8.0710,-0.103,0.162,1
332,8.0949,-0.100,0.162,1
333,8.1190,-0.100,0.162,1
334,8.1428,-0.100,0.162,1
335,8.1667,-0.100,0.162,1
336,8.1912,-0.100,0.162,1
337,8.2157,-0.100,0.162,1
338,8.2400,-0.100,0.162,1
339,8.2642,-0.100,0.162,1
340,8.2890,-0.100,0.162,1
341,8.3130,-0.100,0.162,1
342,8.3374,-0.100,0.162,1
343,8.3622,-0.100,0.162,1
344,8.3864,-0.100,0.162,1
345,8.4107,-0.100,0.162,1
346,8.4355,-0.100,0.162,1
347,8.4600,-0.100,0.162,1
348,8.4843,-0.100,0.162,1
349,8.5081,-0.100,0.162,1
350,8.5326,-0.100,0.162,1
351,8.5562,-0.100,0.162,1
352,8.5808,-0.100,0.162,1
353,8.6053,-0.100,0.162,1
354,8.6295,-0.100,0.162,1
355,8.6535,-0.100,0.162,1
356,8.6777,-0.100,0.162,1
357,8.7023,-0.100,0.162,1
358,8.7253,-0.100,0.162,1
359,8.7489,-0.100,0.162,1
360,8.7734,-0.100,0.162,1
361,8.7978,-0.100,0.162,1
362,8.8216,-0.100,0.162,1
363,8.8456,-0.100,0.162,1
364,8.8695,-0.100,0.162,1
365,8.8933,-0.100,0.162,1
366,8.9177,-0.100,0.162,1
367,8.9414,-0.100,0.162,1
368,8.9652,-0.100,0.162,1
369,8.9888,-0.100,0.162,1
370,9.0129,-0.100,0.162,1
371,9.0366,-0.100,0.162,1
372,9.0605,-0.100,0.162,1
373,9.0850,-0.100,0.162,1
374,9.1086,-0.100,0.162,1
375,9.1324,-0.100,0.162,1
376,9.1565,-0.100,0.162,1
377,9.1801,-0.100,0.162,1
378,9.2039,-0.100,0.162,1
379,9.2275,-0.100,0.162,1
380,9.2516,-0.100,0.162,1
381,9.2759,-0.100,0.162,1
382,9.3003,-0.100,0.162,1
383,9.3245,-0.100,0.162,1
384,9.3482,-0.100,0.162,1
385,9.3718,-0.100,0.162,1
386,9.3964,-0.100,0.162,1
387,9.4210,-0.100,0.162,1
388,9.4453,-0.100,0.162,1
389,9.4698,-0.100,0.162,1
390,9.4941,-0.100,0.162,1
391,9.5180,-0.100,0.162,1
392,9.5418,-0.100,0.162,1
393,9.5661,-0.100,0.162,1
394,9.5900,-0.100,0.162,1
395,9.6142,-0.100,0.162,1
396,9.6388,-0.100,0.162,1
397,9.6632,-0.100,0.162,1
398,9.6875,-0.100,0.159,1
399,9.7113,-0.100,0.159,1
400,9.7363,-0.100,0.159,1
401,9.7595,-0.100,0.155,1
402,9.7833,-0.100,0.155,1
403,9.8075,-0.100,0.155,1
404,9.8312,-0.100,0.155,1
405,9.8551,-0.100,0.155,1
406,9.8798,-0.100,0.159,1
407,9.9041,-0.100,0.159,1
408,9.9280,-0.100,0.159,1
409,9.9523,-0.100,0.159,1
410,9.9771,-0.100,0.159,1
411,10.0009,-0.100,0.159,1
412,10.0251,-0.100,0.159,1
413,10.0494,-0.100,0.159,1
414,10.0734,-0.100,0.159,1
415,10.0974,-0.100,0.159,1
416,10.1216,-0.100,0.159,1
417,10.1454,-0.100,0.159,1
418,10.1690,-0.100,0.159,1
419,10.1927,-0.100,0.159,1
420,10.2169,-0.100,0.159,1
421,10.2409,-0.100,0.159,1
422,10.2648,-0.100,0.159,1
423,10.2893,-0.100,0.159,1
424,10.3137,-0.100,0.159,1
425,10.3380,-0.100,0.159,1
426,10.3627,-0.100,0.159,1
427,10.3863,-0.100,0.159,1
428,10.4100,-0.100,0.159,1
429,10.4338,-0.100,0.159,1
430,10.4578,-0.100,0.159,1
431,10.4815,-0.100,0.159,1
432,10.5052,-0.100,0.159,1
433,10.5293,-0.100,0.159,1
434,10.5530,-0.100,0.159,1
435,10.5766,-0.100,0.159,1
436,10.6004,-0.100,0.159,1
437,10.6269,-0.100,0.159,1
438,10.6522,-0.100,0.159,1
439,10.6776,-0.100,0.159,1
440,10.7031,-0.100,0.159,1
441,10.7282,-0.100,0.159,1
442,10.7540,-0.100,0.159,1
443,10.7788,-0.100,0.159,1
444,10.8046,-0.100,0.159,1
445,10.8298,-0.100,0.159,1
446,10.8550,-0.100,0.159,1
447,10.8804,-0.100,0.159,1
448,10.9055,-0.100,0.159,1
449,10.9304,-0.100,0.159,1
450,10.9558,-0.100,0.159,1
451,10.9810,-0.100,0.159,1
452,11.0061,-0.100,0.159,1
453,11.0314,-0.100,0.159,1
454,11.0568,-0.100,0.159,1
455,11.0807,-0.100,0.159,1
456,11.1046,-0.100,0.159,1
457,11.1292,-0.100,0.159,1
458,11.1535,-0.100,0.159,1
459,11.1775,-0.100,0.159,1
460,11.2021,-0.100,0.159,1
461,11.2264,-0.100,0.159,1
462,11.2502,-0.100,0.159,1
463,11.2740,-0.100,0.159,1
464,11.2982,-0.100,0.159,1
465,11.3221,-0.100,0.159,1
466,11.3460,-0.100,0.159,1
467,11.3700,-0.100,0.159,1
468,11.3939,-0.100,0.159,1
469,11.4177,-0.100,0.159,1
470,11.4419,-0.100,0.159,1
471,11.4658,-0.100,0.159,1
472,11.4898,-0.100,0.159,1
473,11.5138,-0.100,0.159,1
474,11.5385,-0.100,0.159,1
475,11.5625,-0.100,0.159,1
476,11.5874,-0.100,0.159,1
477,11.6123,-0.100,0.159,1
478,11.6361,-0.100,0.159,1
479,11.6606,-0.100,0.159,1
480,11.6845,-0.100,0.159,1
481,11.7085,-0.100,0.159,1
482,11.7320,-0.100,0.159,1
483,11.7559,-0.100,0.159,1
484,11.7798,-0.100,0.159,1
485,11.8040,-0.100,0.159,1
486,11.8281,-0.100,0.159,1
487,11.8522,-0.100,0.159,1
488,11.8759,-0.100,0.159,1
489,11.8996,-0.100,0.159,1
490,11.9236,-0.100,0.155,1
491,11.9474,-0.100,0.155,1
492,11.9711,-0.100,0.152,1
493,11.9949,-0.100,0.152,1
494,12.0190,-0.100,0.148,1
495,12.0428,-0.100,0.145,1
496,12.0665,-0.100,0.145,1
497,12.0906,-0.100,0.145,1
498,12.1143,-0.100,0.141,1
499,12.1382,-0.100,0.138,1
500,12.1623,-0.100,0.138,1
501,12.1861,-0.100,0.134,1
502,12.2098,-0.097,0.134,1
503,12.2335,-0.097,0.131,1
504,12.2575,-0.100,0.131,1
505,12.2812,-0.097,0.131,1
506,12.3050,-0.097,0.128,1
507,12.3291,-0.097,0.124,1
508,12.3527,-0.097,0.124,1
509,12.3767,-0.093,0.121,1
510,12.4016,-0.093,0.121,1
511,12.4260,-0.093,0.117,1
512,12.4505,-0.093,0.117,1
513,12.4747,-0.090,0.114,1
514,12.4992,-0.090,0.114,1
515,12.5236,-0.090,0.110,1
516,12.5479,-0.090,0.110,1
517,12.5725,-0.090,0.107,1
518,12.5967,-0.086,0.107,1
519,12.6203,-0.086,0.103,1
520,12.6445,-0.086,0.100,1
521,12.6684,-0.086,0.100,1
522,12.6922,-0.086,0.097,1
