timestamp,t_s,x_norm,y_norm,detected
2026-03-09 13:27:49.505490,0.0,-0.1448275862068965,0.8862068965517241,1
2026-03-09 13:27:49.549360,0.04387,-0.1482758620689655,0.8896551724137931,1
2026-03-09 13:27:49.571185,0.065695,-0.1517241379310344,0.8896551724137931,1
2026-03-09 13:27:49.595009,0.089519,-0.1517241379310344,0.8931034482758621,1
2026-03-09 13:27:49.633551,0.128061,-0.1551724137931034,0.896551724137931,1
2026-03-09 13:27:49.667940,0.16245,-0.1551724137931034,0.896551724137931,1
2026-03-09 13:27:49.693377,0.187887,-0.1551724137931034,0.9,1
2026-03-09 13:27:49.809835,0.304345,-0.1551724137931034,0.8931034482758621,1
2026-03-09 13:27:49.832702,0.327212,-0.1517241379310344,0.8896551724137931,1
2026-03-09 13:27:49.879534,0.374044,-0.1517241379310344,0.8758620689655172,1
2026-03-09 13:27:49.920260,0.41477,-0.7724137931034483,0.3689655172413793,1
2026-03-09 13:27:49.949727,0.444237,0.0,0.0,0
2026-03-09 13:27:49.971395,0.465905,-0.7655172413793103,0.493103448275862,1
2026-03-09 13:27:49.996356,0.490866,-0.1448275862068965,0.7896551724137931,1
2026-03-09 13:27:50.022018,0.516528,-0.1413793103448276,0.7620689655172413,1
2026-03-09 13:27:50.047565,0.542075,-0.1413793103448276,0.7379310344827587,1
2026-03-09 13:27:50.071966,0.566476,-0.1413793103448276,0.7103448275862069,1
2026-03-09 13:27:50.095957,0.590467,-0.1379310344827586,0.6758620689655173,1
2026-03-09 13:27:50.121113,0.615623,-0.1344827586206896,0.6448275862068965,1
2026-03-09 13:27:50.145798,0.640308,-0.1344827586206896,0.6137931034482759,1
2026-03-09 13:27:50.169844,0.664354,-0.1310344827586207,0.5724137931034483,1
2026-03-09 13:27:50.193551,0.688061,-0.1275862068965517,0.5310344827586206,1
2026-03-09 13:27:50.217563,0.712073,-0.1206896551724138,0.4896551724137931,1
2026-03-09 13:27:50.240987,0.735497,-0.1172413793103448,0.4448275862068965,1
2026-03-09 13:27:50.264338,0.758848,-0.1172413793103448,0.4137931034482758,1
2026-03-09 13:27:50.288557,0.783067,-0.1206896551724138,0.3758620689655172,1
2026-03-09 13:27:50.312613,0.807123,-0.1137931034482758,0.3344827586206896,1
2026-03-09 13:27:50.336486,0.830996,-0.1103448275862069,0.2896551724137931,1
2026-03-09 13:27:50.360522,0.855032,-0.1068965517241379,0.2517241379310345,1
2026-03-09 13:27:50.385001,0.879511,-0.1,0.2068965517241379,1
2026-03-09 13:27:50.408865,0.903375,-0.093103448275862,0.1620689655172413,1
2026-03-09 13:27:50.432739,0.927249,-0.0896551724137931,0.1241379310344827,1
2026-03-09 13:27:50.457832,0.952342,-0.0827586206896551,0.0793103448275862,1
