timestamp,t_s,x_norm,y_norm,detected
2026-03-09 13:42:41.144484,0.0,0.0,0.0,0
2026-03-09 13:42:41.184022,0.039538,0.0,0.0,0
2026-03-09 13:42:41.214829,0.070345,0.0,0.0,0
2026-03-09 13:42:41.239467,0.094983,0.0,0.0,0
2026-03-09 13:42:41.261673,0.117189,0.0,0.0,0
2026-03-09 13:42:41.346216,0.201732,0.0,0.0,0
2026-03-09 13:42:41.391024,0.24654,0.0,0.0,0
2026-03-09 13:42:41.414138,0.269654,0.0,0.0,0
2026-03-09 13:42:41.438907,0.294423,0.0,0.0,0
2026-03-09 13:42:41.464809,0.320325,0.0,0.0,0
2026-03-09 13:42:41.489177,0.344693,0.0,0.0,0
2026-03-09 13:42:41.515581,0.371097,0.0,0.0,0
2026-03-09 13:42:41.540529,0.396045,0.0,0.0,0
2026-03-09 13:42:41.567053,0.422569,0.0,0.0,0
2026-03-09 13:42:41.591379,0.446895,0.0,0.0,0
2026-03-09 13:42:41.617428,0.472944,0.0,0.0,0
2026-03-09 13:42:41.644326,0.499842,0.0,0.0,0
2026-03-09 13:42:41.667680,0.523196,0.0,0.0,0
2026-03-09 13:42:41.693680,0.549196,0.0,0.0,0
2026-03-09 13:42:41.718525,0.574041,0.0,0.0,0
2026-03-09 13:42:41.742707,0.598223,0.0,0.0,0
2026-03-09 13:42:41.767971,0.623487,0.0,0.0,0
2026-03-09 13:42:41.792425,0.647941,0.0,0.0,0
2026-03-09 13:42:41.816988,0.672504,0.0,0.0,0
2026-03-09 13:42:41.840554,0.69607,0.0,0.0,0
2026-03-09 13:42:41.866553,0.722069,0.0,0.0,0
2026-03-09 13:42:41.889936,0.745452,0.0,0.0,0
2026-03-09 13:42:41.911543,0.767059,0.0,0.0,0
2026-03-09 13:42:41.935219,0.790735,0.0,0.0,0
2026-03-09 13:42:41.960301,0.815817,0.0,0.0,0
2026-03-09 13:42:41.983439,0.838955,0.0,0.0,0
2026-03-09 13:42:42.006829,0.862345,0.0,0.0,0
2026-03-09 13:42:42.030912,0.886428,0.0,0.0,0
2026-03-09 13:42:42.054580,0.910096,0.0,0.0,0
2026-03-09 13:42:42.077678,0.933194,0.0,0.0,0
2026-03-09 13:42:42.104186,0.959702,0.0,0.0,0
2026-03-09 13:42:42.128060,0.983576,0.0,0.0,0
2026-03-09 13:42:42.152168,1.007684,0.0,0.0,0
2026-03-09 13:42:42.175551,1.031067,0.0,0.0,0
2026-03-09 13:42:42.197421,1.052937,0.0,0.0,0
2026-03-09 13:42:42.221686,1.077202,0.0,0.0,0
2026-03-09 13:42:42.245279,1.100795,0.0,0.0,0
2026-03-09 13:42:42.269820,1.125336,0.0,0.0,0
2026-03-09 13:42:42.293087,1.148603,0.0,0.0,0
2026-03-09 13:42:42.317508,1.173024,0.0,0.0,0
2026-03-09 13:42:42.342791,1.198307,0.0,0.0,0
