timestamp,t_s,x_norm,y_norm,detected
2026-03-09 13:24:13.835328,0.0,0.0,0.0,0
2026-03-09 13:24:13.872574,0.037246,0.0,0.0,0
2026-03-09 13:24:13.897247,0.061919,0.0,0.0,0
2026-03-09 13:24:13.910001,0.074673,0.0,0.0,0
2026-03-09 13:24:13.929375,0.094047,0.0,0.0,0
2026-03-09 13:24:13.955315,0.119987,0.0,0.0,0
2026-03-09 13:24:14.037191,0.201863,0.0,0.0,0
2026-03-09 13:24:14.054257,0.218929,0.0,0.0,0
2026-03-09 13:24:14.078526,0.243198,0.0,0.0,0
2026-03-09 13:24:14.103339,0.268011,0.0,0.0,0
2026-03-09 13:24:14.128062,0.292734,0.0,0.0,0
2026-03-09 13:24:14.152774,0.317446,0.0,0.0,0
2026-03-09 13:24:14.177403,0.342075,0.0,0.0,0
2026-03-09 13:24:14.202478,0.36715,0.0,0.0,0
2026-03-09 13:24:14.227189,0.391861,0.0,0.0,0
2026-03-09 13:24:14.252174,0.416846,0.0,0.0,0
2026-03-09 13:24:14.277730,0.442402,0.0,0.0,0
2026-03-09 13:24:14.302583,0.467255,0.0,0.0,0
2026-03-09 13:24:14.328598,0.49327,0.0,0.0,0
2026-03-09 13:24:14.352716,0.517388,0.0,0.0,0
2026-03-09 13:24:14.378309,0.542981,0.0,0.0,0
2026-03-09 13:24:14.403600,0.568272,0.0,0.0,0
2026-03-09 13:24:14.428823,0.593495,0.0,0.0,0
2026-03-09 13:24:14.454960,0.619632,0.0,0.0,0
2026-03-09 13:24:14.479310,0.643982,0.0,0.0,0
2026-03-09 13:24:14.503519,0.668191,0.0,0.0,0
2026-03-09 13:24:14.528523,0.693195,0.0,0.0,0
2026-03-09 13:24:14.552042,0.716714,0.0,0.0,0
2026-03-09 13:24:14.575556,0.740228,0.0,0.0,0
2026-03-09 13:24:14.599433,0.764105,0.0,0.0,0
2026-03-09 13:24:14.623485,0.788157,0.0,0.0,0
2026-03-09 13:24:14.647728,0.8124,0.0,0.0,0
2026-03-09 13:24:14.675807,0.840479,0.0,0.0,0
2026-03-09 13:24:14.695555,0.860227,0.0,0.0,0
2026-03-09 13:24:14.720623,0.885295,0.0,0.0,0
2026-03-09 13:24:14.744817,0.909489,0.0,0.0,0
2026-03-09 13:24:14.768128,0.9328,0.0,0.0,0
2026-03-09 13:24:14.792008,0.95668,0.0,0.0,0
2026-03-09 13:24:14.815767,0.980439,0.0,0.0,0
2026-03-09 13:24:14.839295,1.003967,0.0,0.0,0
2026-03-09 13:24:14.863305,1.027977,0.0,0.0,0
2026-03-09 13:24:14.895150,1.059822,0.0,0.0,0
2026-03-09 13:24:14.910856,1.075528,0.0,0.0,0
2026-03-09 13:24:14.935325,1.099997,0.0,0.0,0
2026-03-09 13:24:14.959842,1.124514,0.0,0.0,0
2026-03-09 13:24:14.983837,1.148509,0.0,0.0,0
2026-03-09 13:24:15.007515,1.172187,0.0,0.0,0
2026-03-09 13:24:15.031715,1.196387,0.0,0.0,0
2026-03-09 13:24:15.055523,1.220195,0.0,0.0,0
2026-03-09 13:24:15.078884,1.243556,0.0,0.0,0
2026-03-09 13:24:15.102963,1.267635,0.0,0.0,0
2026-03-09 13:24:15.126844,1.291516,0.0,0.0,0
2026-03-09 13:24:15.150669,1.315341,0.0,0.0,0
2026-03-09 13:24:15.175347,1.340019,0.0,0.0,0
2026-03-09 13:24:15.198545,1.363217,0.0,0.0,0
