architecture,n_samples,rmse,mae
A_simple,3707,0.22773697727105668,0.18841310067987788
B_kalman,3352,0.3295348797461141,0.24058375474055665
C_pid,426,0.02317333019303141,0.02313777005613247
D_advanced,1587,0.40893738934481,0.31879649423999
