time,x,y,detected
1768830827.5071518,0.027586206896551724,0.13448275862068965,1
1768830827.5071785,0.0,0.0,0
1768830827.5437322,0.03793103448275862,0.1310344827586207,1
1768830827.5437524,0.0,0.0,0
1768830827.5541878,0.04827586206896552,0.12758620689655173,1
1768830827.554207,0.0,0.0,0
1768830827.5763202,0.07931034482758621,0.18275862068965518,1
1768830827.5763395,0.0,0.0,0
1768830827.6001992,0.07931034482758621,0.18275862068965518,1
1768830827.6002262,0.0,0.0,0
1768830827.6263027,0.07931034482758621,0.18275862068965518,1
1768830827.6263247,0.0,0.0,0
1768830827.6532679,0.07931034482758621,0.18275862068965518,1
1768830827.6532876,0.0,0.0,0
1768830827.6764193,0.07931034482758621,0.18275862068965518,1
1768830827.6764445,0.0,0.0,0
1768830827.7034318,0.07931034482758621,0.18275862068965518,1
1768830827.703452,0.0,0.0,0
1768830827.7258546,0.07931034482758621,0.18275862068965518,1
1768830827.7258816,0.0,0.0,0
1768830827.7516854,0.07931034482758621,0.18275862068965518,1
1768830827.7517068,0.0,0.0,0
1768830827.77633,0.07931034482758621,0.18275862068965518,1
1768830827.7763653,0.0,0.0,0
1768830827.801982,0.07931034482758621,0.18275862068965518,1
1768830827.8020103,0.0,0.0,0
1768830827.8267317,0.07931034482758621,0.18275862068965518,1
1768830827.8267548,0.0,0.0,0
1768830827.8523777,0.07931034482758621,0.18275862068965518,1
1768830827.8524008,0.0,0.0,0
1768830827.8769586,0.07931034482758621,0.18275862068965518,1
1768830827.8769813,0.0,0.0,0
1768830827.9020457,-0.020689655172413793,-0.6344827586206897,1
1768830827.902068,0.0,0.0,0
1768830827.9276428,-0.1413793103448276,-0.8724137931034482,1
1768830827.9276717,0.0,0.0,0
1768830827.9526963,-0.1413793103448276,-0.8724137931034482,1
1768830827.9527345,0.0,0.0,0
1768830827.9780953,-0.1413793103448276,-0.8724137931034482,1
1768830827.9781346,0.0,0.0,0
1768830828.006,-0.1413793103448276,-0.8724137931034482,1
1768830828.006021,0.0,0.0,0
1768830828.0289469,-0.1413793103448276,-0.8724137931034482,1
1768830828.0289688,0.0,0.0,0
1768830828.0539706,-0.1413793103448276,-0.8724137931034482,1
1768830828.053991,0.0,0.0,0
1768830828.0798004,-0.1413793103448276,-0.8724137931034482,1
1768830828.079824,0.0,0.0,0
1768830828.103437,-0.1413793103448276,-0.8724137931034482,1
1768830828.1034584,0.0,0.0,0
1768830828.1299865,-0.1413793103448276,-0.8724137931034482,1
1768830828.1300104,0.0,0.0,0
1768830828.1590648,-0.1413793103448276,-0.8724137931034482,1
1768830828.1590862,0.0,0.0,0
1768830828.1771393,-0.1413793103448276,-0.8724137931034482,1
1768830828.1771626,0.0,0.0,0
1768830828.2011638,-0.1413793103448276,-0.8724137931034482,1
1768830828.2011852,0.0,0.0,0
1768830828.2249324,-0.1413793103448276,-0.8724137931034482,1
1768830828.2249541,0.0,0.0,0
1768830828.2487311,-0.1413793103448276,-0.8724137931034482,1
1768830828.2487526,0.0,0.0,0
1768830828.2723148,-0.1413793103448276,-0.8724137931034482,1
1768830828.2723362,0.0,0.0,0
1768830828.2964792,-0.1413793103448276,-0.8724137931034482,1
1768830828.2965267,0.0,0.0,0
1768830828.3201299,-0.1413793103448276,-0.8724137931034482,1
1768830828.3201702,0.0,0.0,0
1768830828.345668,-0.1413793103448276,-0.8724137931034482,1
1768830828.3457005,0.0,0.0,0
1768830828.3681695,-0.1413793103448276,-0.8724137931034482,1
1768830828.3681893,0.0,0.0,0
1768830828.3920608,-0.1413793103448276,-0.8724137931034482,1
1768830828.3920865,0.0,0.0,0
1768830828.4157524,-0.1413793103448276,-0.8724137931034482,1
1768830828.4157908,0.0,0.0,0
1768830828.439956,-0.1413793103448276,-0.8724137931034482,1
1768830828.4399865,0.0,0.0,0
1768830828.4635997,-0.1413793103448276,-0.8724137931034482,1
1768830828.4636214,0.0,0.0,0
1768830828.4869702,-0.1413793103448276,-0.8724137931034482,1
1768830828.48699,0.0,0.0,0
1768830828.5111852,-0.1413793103448276,-0.8724137931034482,1
1768830828.5112085,0.0,0.0,0
1768830828.5347953,-0.1413793103448276,-0.8724137931034482,1
1768830828.5348167,0.0,0.0,0
1768830828.5585923,-0.1413793103448276,-0.8724137931034482,1
1768830828.5586314,0.0,0.0,0
1768830828.5829852,-0.1413793103448276,-0.8724137931034482,1
1768830828.5830057,0.0,0.0,0
1768830828.6077855,-0.1413793103448276,-0.8724137931034482,1
1768830828.6078067,0.0,0.0,0
1768830828.6333117,-0.1413793103448276,-0.8724137931034482,1
1768830828.6333325,0.0,0.0,0
1768830828.65418,-0.1413793103448276,-0.8724137931034482,1
1768830828.654201,0.0,0.0,0
1768830828.6781394,-0.1413793103448276,-0.8724137931034482,1
1768830828.6781623,0.0,0.0,0
1768830828.7018745,-0.1413793103448276,-0.8724137931034482,1
1768830828.7018976,0.0,0.0,0
1768830828.7251778,-0.1413793103448276,-0.8724137931034482,1
1768830828.725203,0.0,0.0,0
1768830828.7496521,-0.1413793103448276,-0.8724137931034482,1
1768830828.7496777,0.0,0.0,0
1768830828.7733376,-0.1413793103448276,-0.8724137931034482,1
1768830828.7733579,0.0,0.0,0
1768830828.7970276,-0.1413793103448276,-0.8724137931034482,1
1768830828.797049,0.0,0.0,0
1768830828.8203933,-0.1413793103448276,-0.8724137931034482,1
1768830828.8204145,0.0,0.0,0
1768830828.8448243,-0.1413793103448276,-0.8724137931034482,1
1768830828.8448558,0.0,0.0,0
1768830828.8687854,-0.1413793103448276,-0.8724137931034482,1
1768830828.8688083,0.0,0.0,0
1768830828.8920565,-0.1413793103448276,-0.8724137931034482,1
1768830828.89208,0.0,0.0,0
1768830828.916958,-0.1413793103448276,-0.8724137931034482,1
1768830828.9169798,0.0,0.0,0
1768830828.9405072,-0.1413793103448276,-0.8724137931034482,1
1768830828.94053,0.0,0.0,0
1768830828.963163,-0.1413793103448276,-0.8724137931034482,1
1768830828.9631836,0.0,0.0,0
1768830828.9870439,-0.1413793103448276,-0.8724137931034482,1
1768830828.9870825,0.0,0.0,0
1768830829.0117884,-0.1413793103448276,-0.8724137931034482,1
1768830829.0118248,0.0,0.0,0
1768830829.0355585,-0.1413793103448276,-0.8724137931034482,1
1768830829.0355783,0.0,0.0,0
1768830829.0591993,-0.1413793103448276,-0.8724137931034482,1
1768830829.0592208,0.0,0.0,0
1768830829.0830793,-0.1413793103448276,-0.8724137931034482,1
1768830829.0830998,0.0,0.0,0
1768830829.10666,-0.1413793103448276,-0.8724137931034482,1
1768830829.106684,0.0,0.0,0
1768830829.133801,-0.1413793103448276,-0.8724137931034482,1
1768830829.133829,0.0,0.0,0
1768830829.1572175,-0.1413793103448276,-0.8724137931034482,1
1768830829.157246,0.0,0.0,0
1768830829.1829493,-0.1413793103448276,-0.8724137931034482,1
1768830829.1829708,0.0,0.0,0
1768830829.2079272,-0.1413793103448276,-0.8724137931034482,1
1768830829.2079625,0.0,0.0,0
1768830829.233428,-0.1413793103448276,-0.8724137931034482,1
1768830829.2334514,0.0,0.0,0
1768830829.2582133,-0.1413793103448276,-0.8724137931034482,1
1768830829.2582388,0.0,0.0,0
1768830829.2833972,-0.1413793103448276,-0.8724137931034482,1
1768830829.2834296,0.0,0.0,0
1768830829.3089645,-0.1413793103448276,-0.8724137931034482,1
1768830829.309002,0.0,0.0,0
1768830829.334606,-0.1413793103448276,-0.8724137931034482,1
1768830829.3346305,0.0,0.0,0
1768830829.3592813,-0.1413793103448276,-0.8724137931034482,1
1768830829.3593047,0.0,0.0,0
1768830829.384276,-0.1413793103448276,-0.8724137931034482,1
1768830829.3843043,0.0,0.0,0
1768830829.4076185,-0.1413793103448276,-0.8724137931034482,1
1768830829.4076416,0.0,0.0,0
1768830829.4320738,-0.1413793103448276,-0.8724137931034482,1
1768830829.4321063,0.0,0.0,0
1768830829.4555304,-0.1413793103448276,-0.8724137931034482,1
1768830829.4555619,0.0,0.0,0
1768830829.4790506,-0.1413793103448276,-0.8724137931034482,1
1768830829.479074,0.0,0.0,0
1768830829.5028627,-0.1413793103448276,-0.8724137931034482,1
1768830829.5028827,0.0,0.0,0
1768830829.5269415,-0.1413793103448276,-0.8724137931034482,1
1768830829.5269787,0.0,0.0,0
1768830829.5505435,-0.1413793103448276,-0.8724137931034482,1
1768830829.5505657,0.0,0.0,0
1768830829.5738451,-0.1413793103448276,-0.8724137931034482,1
1768830829.573874,0.0,0.0,0
1768830829.598402,-0.1413793103448276,-0.8724137931034482,1
1768830829.5984309,0.0,0.0,0
1768830829.6221464,-0.1413793103448276,-0.8724137931034482,1
1768830829.6221857,0.0,0.0,0
1768830829.6458485,-0.1413793103448276,-0.8724137931034482,1
1768830829.6458707,0.0,0.0,0
1768830829.669909,-0.1413793103448276,-0.8724137931034482,1
1768830829.6701753,0.0,0.0,0
1768830829.6935413,-0.1413793103448276,-0.8724137931034482,1
1768830829.69357,0.0,0.0,0
1768830829.7172935,-0.1413793103448276,-0.8724137931034482,1
1768830829.7173247,0.0,0.0,0
1768830829.741046,-0.1413793103448276,-0.8724137931034482,1
1768830829.7410707,0.0,0.0,0
1768830829.7647781,-0.1413793103448276,-0.8724137931034482,1
1768830829.7648013,0.0,0.0,0
1768830829.7888064,-0.1413793103448276,-0.8724137931034482,1
1768830829.7888393,0.0,0.0,0
1768830829.8127875,-0.1413793103448276,-0.8724137931034482,1
1768830829.8128104,0.0,0.0,0
1768830829.8361995,-0.1413793103448276,-0.8724137931034482,1
1768830829.8362207,0.0,0.0,0
1768830829.8598294,-0.1413793103448276,-0.8724137931034482,1
1768830829.8598561,0.0,0.0,0
1768830829.8860195,-0.1413793103448276,-0.8724137931034482,1
1768830829.8860412,0.0,0.0,0
1768830829.9110196,-0.1413793103448276,-0.8724137931034482,1
1768830829.9110408,0.0,0.0,0
1768830829.936041,-0.1413793103448276,-0.8724137931034482,1
1768830829.936096,0.0,0.0,0
1768830829.9619665,-0.1413793103448276,-0.8724137931034482,1
1768830829.9619894,0.0,0.0,0
1768830829.9862652,-0.1413793103448276,-0.8724137931034482,1
1768830829.9863036,0.0,0.0,0
1768830830.0191894,-0.1413793103448276,-0.8724137931034482,1
1768830830.0192096,0.0,0.0,0
1768830830.034442,-0.1413793103448276,-0.8724137931034482,1
1768830830.0344632,0.0,0.0,0
1768830830.0579252,-0.1413793103448276,-0.8724137931034482,1
1768830830.0579586,0.0,0.0,0
1768830830.081919,-0.1413793103448276,-0.8724137931034482,1
1768830830.081941,0.0,0.0,0
1768830830.105442,-0.1413793103448276,-0.8724137931034482,1
1768830830.1054635,0.0,0.0,0
1768830830.130164,-0.1413793103448276,-0.8724137931034482,1
1768830830.1301944,0.0,0.0,0
1768830830.1528008,-0.1413793103448276,-0.8724137931034482,1
1768830830.1528242,0.0,0.0,0
1768830830.1761541,-0.1413793103448276,-0.8724137931034482,1
1768830830.1761925,0.0,0.0,0
1768830830.2004166,-0.1413793103448276,-0.8724137931034482,1
1768830830.2004404,0.0,0.0,0
1768830830.226052,-0.1413793103448276,-0.8724137931034482,1
1768830830.2260916,0.0,0.0,0
